mtgtech-dc01915	Microsoft.Network/networkInterfaces	XF-VM-RG	northcentralus
MTGTech-LAN	Microsoft.Network/virtualNetworks	XF-VM-RG	northcentralus
MTGTech-Server-VMs-vnet	Microsoft.Network/virtualNetworks	MTGTech-Server-VMs	westus2
MtgTech-User-VMs-vnet	Microsoft.Network/virtualNetworks	MtgTech-User-VMs	northcentralus
mtgtecharchive	Microsoft.Storage/storageAccounts	XF-VM-RG	eastus
mtgtechrestorestaging	Microsoft.Storage/storageAccounts	restore-staging	northcentralus
mtgtechservervms587	Microsoft.Storage/storageAccounts	MTGTech-Server-VMs	northcentralus
mtgtechservervms716	Microsoft.Storage/storageAccounts	MTGTech-Server-VMs	northcentralus
mtgtechservervms966	Microsoft.Storage/storageAccounts	MTGTech-Server-VMs	northcentralus
mtgtechservervmsdiag	Microsoft.Storage/storageAccounts	XF-VM-RG	northcentralus
mtgtechservervmsdiag784	Microsoft.Storage/storageAccounts	MTGTech-Server-VMs	northcentralus
mtgtechservervmsdiag816	Microsoft.Storage/storageAccounts	MTGTech-Server-VMs	northcentralus
mtgtechservervmsdiag977	Microsoft.Storage/storageAccounts	MTGTech-Server-VMs	westus2
mtgtechuservms119	Microsoft.Storage/storageAccounts	XF-VM-RG	northcentralus
mtgtechuservms177	Microsoft.Storage/storageAccounts	XF-VM-RG	northcentralus
mtgtechuservms209	Microsoft.Storage/storageAccounts	XF-VM-RG	northcentralus
mtgtechuservms215	Microsoft.Storage/storageAccounts	XF-VM-RG	northcentralus
mtgtechuservms247	Microsoft.Storage/storageAccounts	XF-VM-RG	northcentralus
mtgtechuservms408	Microsoft.Storage/storageAccounts	XF-VM-RG	northcentralus
mtgtechuservms458	Microsoft.Storage/storageAccounts	XF-VM-RG	northcentralus
mtgtechuservms522	Microsoft.Storage/storageAccounts	XF-VM-RG	northcentralus
mtgtechuservms627	Microsoft.Storage/storageAccounts	XF-VM-RG	northcentralus
mtgtechuservms634	Microsoft.Storage/storageAccounts	XF-VM-RG	northcentralus
mtgtechuservms716	Microsoft.Storage/storageAccounts	XF-VM-RG	northcentralus
mtgtechuservms964	Microsoft.Storage/storageAccounts	XF-VM-RG	northcentralus
mtgtechuservmsdiag	Microsoft.Storage/storageAccounts	XF-VM-RG	northcentralus
mtgtechuservmsdiag195	Microsoft.Storage/storageAccounts	XF-VM-RG	northcentralus
mtgtechuservmsdiag258	Microsoft.Storage/storageAccounts	XF-VM-RG	northcentralus
mtgtechuservmsdiag300	Microsoft.Storage/storageAccounts	XF-VM-RG	northcentralus
mtgtechuservmsdiag302	Microsoft.Storage/storageAccounts	XF-VM-RG	northcentralus
mtgtechuservmsdiag382	Microsoft.Storage/storageAccounts	XF-VM-RG	northcentralus
mtgtechuservmsdiag444	Microsoft.Storage/storageAccounts	XF-VM-RG	northcentralus
mtgtechuservmsdiag846	Microsoft.Storage/storageAccounts	XF-VM-RG	northcentralus
mtgtechuservmsdiag900	Microsoft.Storage/storageAccounts	XF-VM-RG	northcentralus
Nested-VM-Routes	Microsoft.Network/routeTables	XF-VM-RG	westus2
NetworkWatcher_northcentralus	Microsoft.Network/networkWatchers	NetworkWatcherRG	northcentralus
NetworkWatcher_westus2	Microsoft.Network/networkWatchers	NetworkWatcherRG	westus2
Office365(DefaultWorkspace-d67f85c2-2653-4e11-99b7-8d9d776f246f-NCUS)	Microsoft.OperationsManagement/solutions	defaultresourcegroup-ncus	northcentralus
Security(DefaultWorkspace-d67f85c2-2653-4e11-99b7-8d9d776f246f-NCUS)	Microsoft.OperationsManagement/solutions	defaultresourcegroup-ncus	northcentralus
Security(DefaultWorkspace-d67f85c2-2653-4e11-99b7-8d9d776f246f-WUS2)	Microsoft.OperationsManagement/solutions	DefaultResourceGroup-WUS2	westus2
SecurityCenterFree(DefaultWorkspace-d67f85c2-2653-4e11-99b7-8d9d776f246f-NCUS)	Microsoft.OperationsManagement/solutions	defaultresourcegroup-ncus	northcentralus
SecurityCenterFree(DefaultWorkspace-d67f85c2-2653-4e11-99b7-8d9d776f246f-WUS2)	Microsoft.OperationsManagement/solutions	DefaultResourceGroup-WUS2	westus2
ServiceMap(defaultworkspace-d67f85c2-2653-4e11-99b7-8d9d776f246f-ncus)	Microsoft.OperationsManagement/solutions	defaultresourcegroup-ncus	northcentralus
team-ai-preview	Microsoft.Web/staticSites	urla-workbook_group	centralus
urla-workbook	Microsoft.Web/staticSites	urla-workbook_group	centralus
vault644	Microsoft.RecoveryServices/vaults	XF-VM-RG	westus2
warrensnap	Microsoft.Compute/snapshots	restore-staging	northcentralus
WorkbooksFX	microsoft.visualstudio/account	VisualStudioOnline-3B9E3E524CF24490A8497BC3774A1415	centralus
workbooksfx-comms	Microsoft.Communication/CommunicationServices	urla-workbook_group	global
workbooksfx-openai	Microsoft.CognitiveServices/accounts	urla-workbook_group	eastus
workbooksfx-sms-topic	Microsoft.EventGrid/systemTopics	urla-workbook_group	global
workbooksfxstorage	Microsoft.Storage/storageAccounts	urla-workbook_group	centralus
workspace-encompasssyncfunc	Microsoft.OperationalInsights/workspaces	encompasssyncfunc	eastus
